SKU,Product Title,Element Symbol,Element Name,Atomic Number,Collection Type,Retail Price,Current Stock,Status,Available for Subscription,Tags,Notes
Au2x2_coin,Gold 50mm Lucite Cube,Au,Gold,79.0,Lucite 50mm,1500.0,0.0,Active,No,"class:precious, form:lucite, purity:none, size:large",Precious metal - exclude from normal assignment; Out of stock
Sg2x2_film,Seaborgium 50mm Lucite Cube,Sg,Seaborgium,106.0,Lucite 50mm,55.0,4.0,Active,Yes,"form:lucite, purity:none, size:large",
Hs2x2_film,Hassium 50mm Lucite Cube,Hs,Hassium,108.0,Lucite 50mm,55.0,1.0,Active,Yes,"form:lucite, purity:none, size:large",
Sc2x2,Scandium 50mm Lucite Cube,Sc,Scandium,21.0,Lucite 50mm,175.0,4.0,Active,Yes,"class:mid, form:lucite, purity:4N, size:large",
Ti2x2,Titanium 50mm Lucite Cube,Ti,Titanium,22.0,Lucite 50mm,120.0,7.0,Active,Yes,"class:mid, form:lucite, purity:3N, size:large",
Rg2x2_film,Roentgenium 50mm Lucite Cube,Rg,Roentgenium,111.0,Lucite 50mm,55.0,3.0,Active,Yes,"form:lucite, purity:none, size:large",
Rf2x2_film,Rutherfordium 50mm Lucite Cube,Rf,Rutherfordium,104.0,Lucite 50mm,55.0,3.0,Active,Yes,"form:lucite, purity:none, size:large",
Mt2x2_film,Meitnerium 50mm Lucite Cube,Mt,Meitnerium,109.0,Lucite 50mm,55.0,4.0,Active,Yes,"form:lucite, purity:none, size:large",
Nh2x2_film,Nihonium 50mm Lucite Cube,Nh,Nihonium,113.0,Lucite 50mm,55.0,2.0,Active,Yes,"form:lucite, purity:none, size:large",
Fl2x2_film,Flerovium 50mm Lucite Cube,Fl,Flerovium,114.0,Lucite 50mm,55.0,1.0,Active,Yes,"form:lucite, purity:none, size:large",
Cm2x2_film,Curium 50mm Lucite Cube,Cm,Curium,96.0,Lucite 50mm,55.0,4.0,Active,Yes,"class:exotic, form:lucite, purity:none, size:large",
Ti2x2_cry,Titanium 50mm Lucite Cube,Ti,Titanium,22.0,Lucite 50mm,150.0,6.0,Active,Yes,"class:mid, form:lucite, purity:4N, size:large",
Re2x2,Rhenium 50mm Lucite Cube,Re,Rhenium,75.0,Lucite 50mm,350.0,3.0,Active,No,"class:precious, form:lucite, purity:3N, size:large",Precious metal - exclude from normal assignment
Au2x2,Gold 50mm Lucite Cube,Au,Gold,79.0,Lucite 50mm,550.0,7.0,Active,No,"class:precious, form:lucite, purity:none, size:large",Precious metal - exclude from normal assignment
Ta2x2,Tantalum 50mm Lucite Cube,Ta,Tantalum,73.0,Lucite 50mm,80.0,5.0,Active,Yes,"class:mid, form:lucite, purity:none, size:large",
Mo2x2,Molybdenum 50mm Lucite Cube,Mo,Molybdenum,42.0,Lucite 50mm,60.0,8.0,Active,Yes,"class:mid, form:lucite, purity:none, size:large",
