SKU,Product Title,Element Symbol,Element Name,Atomic Number,Collection Type,Retail Price,Current Stock,Status,Available for Subscription,Tags,Notes
Sr2x2,Strontium 50mm Lucite Cube,Sr,Strontium,38.0,Lucite 50mm,110.0,4.0,Active,Yes,"class:reactive, form:lucite, lucite, purity:none, size:large",
Na2x2,Sodium 50mm Lucite Cube,Na,Sodium,11.0,Lucite 50mm,100.0,8.0,Active,Yes,"class:reactive, form:lucite, lucite, purity:none, size:large",
Ce2x2,Cerium 50mm Lucite Cube,Ce,Cerium,58.0,Lucite 50mm,105.0,7.0,Active,Yes,"class:exotic, form:lucite, lucite, purity:4N, size:large",
Cr2x2,Chromium 50mm Lucite Cube,Cr,Chromium,24.0,Lucite 50mm,65.0,4.0,Active,Yes,"class:mid, form:lucite, lucite, purity:none, size:large",
Sb2x2,Antimony 50mm Lucite Cube,Sb,Antimony,51.0,Lucite 50mm,80.0,5.0,Active,Yes,"class:mid, form:lucite, lucite, purity:5N, size:large",
Cl2x2_liq,Chlorine (liquid) 50mm Lucite Cube,Cl,Chlorine,17.0,Lucite 50mm,200.0,4.0,Active,Yes,"class:exotic, form:lucite, lucite, purity:none, size:large",
Nb10.1mm,Niobium Metal Cube 99.95%,Nb,Niobium,41.0,10mm Cube,4.4,0.0,Archived,No,"class:mid, cubes, form:cube, purity:3N, size:micro",Out of stock; Archived
U10.1mm_empty,Uranium Metal Cube,U,Uranium,92.0,10mm Cube,1.0,0.0,Active,No,"class:exotic, cubes, form:cube, purity:none, size:micro",Out of stock
Lu2x2,Lutetium 50mm Lucite Cube,Lu,Lutetium,71.0,Lucite 50mm,195.0,0.0,Active,No,"class:exotic, form:lucite, purity:3N, size:large",Out of stock
S2x2,Sulfur 50mm Lucite Cube,S,Sulfur,16.0,Lucite 50mm,70.0,7.0,Active,Yes,"class:common, form:lucite, lucite, purity:none, size:large",
Pb10.1mm,Lead Metal Cube 99.95%,Pb,Lead,82.0,10mm Cube,1.25,26.0,Archived,No,"class:common, cubes, form:cube, purity:3N, size:micro",Archived
Ts2x2_film,Tennessine 50mm Lucite Cube,Ts,Tennessine,117.0,Lucite 50mm,50.0,2.0,Active,Yes,"form:lucite, purity:none, size:large",
Db2x2_film,Dubnium 50mm Lucite Cube,Db,Dubnium,105.0,Lucite 50mm,55.0,1.0,Active,Yes,"form:lucite, purity:none, size:large",
Pa2x2,Protactinium 50mm Lucite Cube,Pa,Protactinium,91.0,Lucite 50mm,2275.0,2.0,Active,Yes,"class:exotic, form:lucite, lucite, purity:none, size:large",
Mg2x2cr,Magnesium 50mm Lucite Cube,Mg,Magnesium,12.0,Lucite 50mm,125.0,1.0,Draft,No,"class:common, form:lucite, purity:4N, size:large",Draft
P50mm_blk,Phosphorus (Black) 50mm Lucite Cube,P,Phosphorus,15.0,Lucite 50mm,200.0,0.0,Draft,No,"class:common, form:lucite, purity:none, size:large",Out of stock; Draft
Al2x2,Aluminum 50mm Lucite Cube,Al,Aluminum,13.0,Lucite 50mm,65.0,4.0,Active,Yes,"class:common, form:lucite, lucite, purity:4N, size:large",
case50mm,Large Acrylic Elements Display Case,,,,Lucite,990.0,4.0,Archived,No,"purity:none, size:display",Archived
31mm_ThO2,Thorium,Th,Thorium,90.0,31mm Round,55.0,8.0,Archived,No,"class:exotic, purity:none, size:micro",Archived
Pa2x2_film,Protactinium 50mm Lucite Cube,Pa,Protactinium,91.0,Lucite 50mm,55.0,4.0,Active,Yes,"class:exotic, form:lucite, lucite, purity:none, size:micro",
Cl31mm_lq,Chlorine,Cl,Chlorine,17.0,31mm Round,66.0,4.0,Archived,No,"class:exotic, purity:none, size:micro",Archived
GreekKey,Greek Key End Table,,,,Other,500.0,10.0,Archived,No,"purity:none, size:display",Archived
SQ2577807,Round Occasional Table,S,Sulfur,16.0,Other (Coin/Round),500.0,3.0,Archived,No,"class:common, purity:none, size:display",Archived
case10mm+Amp,10mm + Ampules Cubes Display Case,,,,Ampoule,20.0,43.0,Active,No,"form:ampoule, purity:none, size:display",
case_amp,Glass Ampule Display Case,,,,Ampoule,25.0,36.0,Active,No,"form:ampoule, purity:none, size:large",
10mm_small_case,"""Classic"" 10mm Display Case",,,,Other,27.95,0.0,Archived,No,"purity:none, size:large",Out of stock; Archived
Tray,Periodic Table Tray,,,,Other,10.0,0.0,Archived,No,"purity:none, size:large",Out of stock; Archived
case25.4mm,25.4mm Cubes Display Case,,,,25.4mm Cube,149.95,0.0,Active,No,"displays, form:cube, purity:none, size:display",Out of stock
Wooden_case,Wood & Glass Protector Case,,,,Other,19.95,0.0,Archived,No,"purity:none, size:large",Out of stock; Archived
31mm_case,31mm Rounds Display Case,,,,31mm Round,25.0,2.0,Archived,No,"purity:none, size:display",Archived
case50mm,50mm Cubes Display Case,,,,50mm Cube,990.0,4.0,Active,No,"displays, form:cube, purity:none, size:display",
Storage_case,Storage Case,,,,Other,19.95,30.0,Archived,No,"purity:none, size:large",Archived
box10.1mm,Acrylic Boxes,,,,Lucite 10mm,3.0,0.0,Active,No,"displays, purity:none, size:micro",Out of stock; Could not map to element
box25.7mm,Acrylic Boxes,,,,Lucite,5.95,446.0,Active,No,"displays, purity:none, size:micro",Could not map to element
box51mm,Acrylic Boxes,,,,Lucite,6.5,86.0,Active,No,"displays, purity:none, size:micro",Could not map to element
Argon_100,Argon gas,Ar,Argon,18.0,Other,500.0,0.0,Draft,No,"class:exotic, purity:3N, size:large",Out of stock; Draft
Re1g,A. Lungu,Re,Rhenium,75.0,Other (Bulk/Bottle),81.16,0.0,Archived,No,"class:precious, purity:none, size:micro",Precious metal - exclude from normal assignment; Out of stock; Archived
Steel_ring,Steel Ring,,,,Other,5.0,47.0,Archived,No,"purity:none, size:micro",Archived; Could not map to element
50mm_fail,Irregular Lucite acrylic 50mm cube,,,,Lucite 50mm,15.0,54.0,Archived,No,"form:lucite, purity:none, size:large",Archived; Could not map to element
Diff_set>30,10mm make up set 15pc > 30pc,,,,Other,270.0,-1.0,Archived,No,"purity:none, size:large",Out of stock; Archived
10mm_SPECIAL,Acrylic display for 10mm cubes and ampules,,,,Lucite 50mm,20.0,1.0,Draft,No,"form:ampoule, purity:none, size:large",Draft
Set30>50,10mm make up set 30pc > 50pc,Se,Selenium,34.0,Other,1300.0,2.0,Archived,No,"class:mid, purity:none, size:large",Archived
30ml_tube,30ml Plastic Tube,,,,Other,0.75,322.0,Active,No,"displays, purity:none, size:small",Could not map to element
Gd31mm,Gadolinium,Gd,Gadolinium,64.0,31mm Round,11.0,8.0,Archived,No,"class:exotic, purity:none, size:small",Archived
Nd31mm_amp,Neodymium,Nd,Neodymium,60.0,Ampoule,21.0,6.0,Archived,No,"class:exotic, purity:none, size:small",Archived
Er31mm,Erbium,Er,Erbium,68.0,31mm Round,7.0,2.0,Archived,No,"class:exotic, purity:4N, size:small",Archived
Sb31mm,Antimony,Sb,Antimony,51.0,31mm Round,7.5,1.0,Archived,No,"class:mid, purity:6N, size:small",Archived
Yb31mm_5g,Ytterbium,Yb,Ytterbium,70.0,31mm Round,10.0,90.0,Archived,No,"class:exotic, purity:none, size:small",Archived
Cl31mm_lq,Chlorine,Cl,Chlorine,17.0,31mm Round,66.0,4.0,Archived,No,"class:exotic, domes, purity:none, size:micro",Archived
Tb31mm_1g,Terbium,Tb,Terbium,65.0,31mm Round,11.0,0.0,Archived,No,"class:exotic, purity:3N, size:small",Out of stock; Archived
Sn31mm_5g,Tin,Sn,Tin,50.0,31mm Round,5.0,79.0,Archived,No,"class:common, purity:4N, size:small",Archived
Be31mm,Beryllium,Be,Beryllium,4.0,31mm Round,9.0,0.0,Archived,No,"class:mid, domes, purity:none, size:small",Out of stock; Archived
Dy31mm,Dysprosium,Dy,Dysprosium,66.0,31mm Round,10.0,0.0,Archived,No,"class:exotic, purity:none, size:small",Out of stock; Archived
Tl31mm,Thallium,Tl,Thallium,81.0,31mm Round,19.0,3.0,Archived,No,"class:mid, purity:none, size:small",Archived
Cr31mm,Chromium,Cr,Chromium,24.0,31mm Round,6.0,14.0,Archived,No,"class:mid, purity:none, size:small",Archived
C31mm,Carbon,C,Carbon,6.0,31mm Round,4.0,65.0,Archived,No,"class:common, purity:none, size:small",Archived
Al31mm,Aluminum,Al,Aluminum,13.0,31mm Round,3.0,75.0,Archived,No,"class:common, purity:4N, size:small",Archived
Au31mm_100mg,Gold,Au,Gold,79.0,31mm Round,15.0,5.0,Archived,No,"class:precious, purity:3N, size:small",Precious metal - exclude from normal assignment; Archived
Bi31mm,Bismuth,Bi,Bismuth,83.0,31mm Round,15.0,2.0,Archived,No,"class:common, purity:none, size:small",Archived
Cu31mm,Copper,Cu,Copper,29.0,31mm Round,5.0,3.0,Archived,No,"class:common, purity:6N, size:small",Archived
Co31mm,Cobalt,Co,Cobalt,27.0,31mm Round,5.0,0.0,Archived,No,"class:mid, purity:none, size:small",Out of stock; Archived
Ga31mm,Gallium,Ga,Gallium,31.0,31mm Round,7.0,0.0,Archived,No,"class:mid, purity:none, size:small",Out of stock; Archived
Hg31mm_amp,Mercury,Hg,Mercury,80.0,Ampoule,25.0,0.0,Archived,No,"class:mid, purity:none, size:small",Out of stock; Archived
Ho31mm,Holmium,Ho,Holmium,67.0,31mm Round,9.0,76.0,Archived,No,"class:exotic, purity:none, size:small",Archived
I31mm_amp,Iodine,I,Iodine,53.0,Ampoule,19.0,0.0,Archived,No,"class:exotic, purity:none, size:small",Out of stock; Archived
Ir31mm_0.1g,Iridium,Ir,Iridium,77.0,31mm Round,30.0,4.0,Archived,No,"class:precious, purity:none, size:small",Precious metal - exclude from normal assignment; Archived
Lu31mm,Lutetium,Lu,Lutetium,71.0,31mm Round,18.0,1.0,Archived,No,"class:exotic, purity:3N, size:micro",Archived
Mg31mm,Magnesium,Mg,Magnesium,12.0,31mm Round,3.0,73.0,Archived,No,"class:common, purity:none, size:small",Archived
Sr31mm_amp,Strontium,Sr,Strontium,38.0,Ampoule,19.0,2.0,Archived,No,"class:reactive, purity:none, size:small",Archived
Mn31mm,Manganese,Mn,Manganese,25.0,31mm Round,5.0,70.0,Archived,No,"class:mid, purity:none, size:small",Archived
Ni31mm,Nickel,Ni,Nickel,28.0,31mm Round,7.0,0.0,Archived,No,"class:mid, purity:3N, size:small",Out of stock; Archived
Os31mm_1g,Osmium,Os,Osmium,76.0,31mm Round,39.0,0.0,Archived,No,"class:precious, purity:none, size:small",Precious metal - exclude from normal assignment; Out of stock; Archived
P31mm,Phosphorus,P,Phosphorus,15.0,31mm Round,10.0,33.0,Archived,No,"class:common, purity:none, size:small",Archived
Te31mm,Tellurium,Te,Tellurium,52.0,31mm Round,8.0,88.0,Archived,No,"class:mid, purity:7N, size:small",Archived
Pb31mm,Lead,Pb,Lead,82.0,31mm Round,1.0,4.0,Archived,No,"class:common, purity:3N, size:small",Archived
Re31mm,Rhenium,Re,Rhenium,75.0,31mm Round,13.0,21.0,Archived,No,"class:precious, purity:none, size:small",Precious metal - exclude from normal assignment; Archived
S31mm_1g,Sulfur,S,Sulfur,16.0,31mm Round,18.0,29.0,Archived,No,"class:common, purity:4N, size:micro",Archived
Sc31mm,Scandium,Sc,Scandium,21.0,31mm Round,20.0,3.0,Archived,No,"class:mid, purity:none, size:small",Archived
Li31mm,Lithium,Li,Lithium,3.0,31mm Round,13.0,1.0,Archived,No,"class:reactive, purity:none, size:small",Archived
Se31mm_1g,Selenium,Se,Selenium,34.0,31mm Round,10.0,77.0,Archived,No,"class:mid, purity:none, size:small",Archived
Ti31mm_1g,Titanium,Ti,Titanium,22.0,31mm Round,2.0,0.0,Archived,No,"class:mid, purity:none, size:small",Out of stock; Archived
V31mm_1g,Vanadium,V,Vanadium,23.0,31mm Round,9.0,54.0,Archived,No,"class:mid, domes, purity:none, size:small",Archived
W31mm_1g,Tungsten,W,Tungsten,74.0,31mm Round,8.0,5.0,Archived,No,"class:mid, purity:3N, size:small",Archived
Cd31mm,Cadmium,Cd,Cadmium,48.0,31mm Round,8.0,0.0,Archived,No,"class:mid, purity:none, size:small",Out of stock; Archived
TD15x60mm_1g,Thorium Dioxide,Th,Thorium,90.0,Other (Bulk/Bottle),30.0,1.0,Draft,No,"Ammonium Diuranate, class:exotic, purity:none, size:small, Uranium, yellowcake",Draft
TD15x60mm_10g,Thorium Dioxide,Th,Thorium,90.0,Other (Bulk/Bottle),240.0,1.0,Draft,No,"Ammonium Diuranate, class:exotic, purity:none, size:small, Uranium, yellowcake",Draft
B31mm,Boron,B,Boron,5.0,31mm Round,10.0,65.0,Archived,No,"class:common, purity:none, size:small",Archived
Ce31mm,Cerium,Ce,Cerium,58.0,31mm Round,15.0,6.0,Archived,No,"class:exotic, purity:none, size:small",Archived
Ge31mm,Germanium,Ge,Germanium,32.0,31mm Round,11.0,1.0,Archived,No,"class:mid, purity:none, size:small",Archived
Zr31mm_5g,Zirconium,Zr,Zirconium,40.0,31mm Round,8.0,0.0,Archived,No,"class:mid, purity:none, size:small",Out of stock; Archived
Y31mm_3g,Yttrium,Y,Yttrium,39.0,31mm Round,6.0,80.0,Archived,No,"class:mid, purity:none, size:micro",Archived
Ca31mm,Calcium,Ca,Calcium,20.0,31mm Round,25.0,4.0,Archived,No,"class:reactive, purity:none, size:small",Archived
Mo31mm,Molybdenum,Mo,Molybdenum,42.0,31mm Round,7.0,1.0,Archived,No,"class:mid, purity:none, size:micro",Archived
In31mm,Indium,In,Indium,49.0,31mm Round,7.0,77.0,Archived,No,"class:mid, purity:none, size:micro",Archived
K31mm_amp,Potassium,K,Potassium,19.0,Ampoule,13.5,9.0,Archived,No,"class:reactive, purity:none, size:small",Archived
Ta31mm_1g,Tantalum,Ta,Tantalum,73.0,31mm Round,7.5,86.0,Archived,No,"class:mid, purity:4N, size:small",Archived
Zn31mm_5g,Zinc,Zn,Zinc,30.0,31mm Round,2.0,82.0,Archived,No,"class:common, purity:none, size:small",Archived
Cs31mm,Cesium,Cs,Cesium,55.0,31mm Round,26.0,0.0,Archived,No,"class:reactive, purity:4N, size:small",Out of stock; Archived
Nb31mm_multi,Niobium,Nb,Niobium,41.0,31mm Round,5.0,0.0,Archived,No,"class:mid, purity:none, size:small",Out of stock; Archived
Ba31mm,Barium,Ba,Barium,56.0,31mm Round,18.0,4.0,Archived,No,"class:reactive, form:bar, purity:none, size:small",Archived
Sm31mm_1g,Samarium,Sm,Samarium,62.0,31mm Round,6.0,5.0,Archived,No,"class:exotic, purity:none, size:small",Archived
Ag31mm,Silver,Ag,Silver,47.0,31mm Round,10.0,8.0,Archived,No,"class:precious, purity:none, size:small",Archived
Rh31mm_100mg,Rhodium,Rh,Rhodium,45.0,31mm Round,75.0,0.0,Archived,No,"class:precious, purity:none, size:small",Precious metal - exclude from normal assignment; Out of stock; Archived
Tm31mm_3g,Thulium,Tm,Thulium,69.0,31mm Round,15.0,86.0,Archived,No,"class:exotic, purity:none, size:small",Archived
U31mm_1g,Uranium,U,Uranium,92.0,31mm Round,40.0,0.0,Archived,No,"class:exotic, purity:none, size:small",Out of stock; Archived
Si31mm_1g,Silicon,Si,Silicon,14.0,31mm Round,6.0,24.0,Archived,No,"class:common, purity:9N, size:small",Archived
Pd31mm_100mg,Palladium,Pd,Palladium,46.0,31mm Round,15.0,1.0,Archived,No,"class:precious, purity:none, size:small",Precious metal - exclude from normal assignment; Archived
H31mm,Hydrogen,H,Hydrogen,1.0,31mm Round,12.0,9.0,Archived,No,"class:exotic, purity:none, size:micro",Archived
Ne31mm,Neon,Ne,Neon,10.0,31mm Round,12.0,10.0,Archived,No,"class:exotic, purity:3N, size:small",Archived
F_FBB,Fluorine gas,F,Fluorine,9.0,Other,39.0,0.0,Archived,No,"class:exotic, purity:none, size:micro",Out of stock; Archived
O31mm,Oxygen,O,Oxygen,8.0,31mm Round,12.0,5.0,Archived,No,"class:exotic, purity:none, size:small",Archived
N31mm,Nitrogen,N,Nitrogen,7.0,31mm Round,12.0,78.0,Archived,No,"class:exotic, purity:none, size:small",Archived
He31mm,Helium,He,Helium,2.0,31mm Round,12.0,4.0,Archived,No,"class:exotic, purity:none, size:small",Archived
Kr31mm,Krypton,Kr,Krypton,36.0,31mm Round,15.0,2.0,Archived,No,"class:exotic, purity:none, size:small",Archived
Br31mm_lq,Bromine,Br,Bromine,35.0,31mm Round,26.0,0.0,Archived,No,"class:exotic, purity:none, size:small",Out of stock; Archived
Pr31mm_amp,Praseodymium,Pr,Praseodymium,59.0,Ampoule,16.0,9.0,Archived,No,"class:exotic, purity:none, size:small",Archived
La31mm_amp,Lanthanum,La,Lanthanum,57.0,Ampoule,18.0,2.0,Archived,No,"class:exotic, purity:none, size:small",Archived
Rb31mm_amp,Rubidium,Rb,Rubidium,37.0,Ampoule,35.0,0.0,Archived,No,"class:reactive, purity:none, size:micro",Out of stock; Archived
Ru31mm,Ruthenium,Ru,Ruthenium,44.0,31mm Round,42.0,2.0,Archived,No,"class:precious, purity:none, size:small",Precious metal - exclude from normal assignment; Archived
Na31mm_amp,Sodium,Na,Sodium,11.0,Ampoule,14.0,4.0,Archived,No,"class:reactive, purity:none, size:small",Archived
31mm_case_2,Full Sets with Display Case,,,,31mm Round,,2.0,Archived,No,"purity:none, size:display",Archived
31mm_basic,Full Sets with Display Case,,,,31mm Round,495.0,0.0,Archived,No,"purity:none, size:display",Out of stock; Archived
31mm_full,Full Sets with Display Case,,,,31mm Round,1295.0,0.0,Archived,No,"purity:none, size:display",Out of stock; Archived
31mm_container,Full Sets with Display Case,,,,31mm Round,0.5,372.0,Archived,No,"purity:none, size:display",Archived
Pt31mm_100mg,Platinum,Pt,Platinum,78.0,31mm Round,8.0,31.0,Archived,No,"class:precious, purity:none, size:small",Precious metal - exclude from normal assignment; Archived
As31mm,Arsenic,As,Arsenic,33.0,31mm Round,12.0,0.0,Archived,No,"class:mid, domes, purity:none, size:small",Out of stock; Archived
Eu31mm,Europium,Eu,Europium,63.0,31mm Round,25.0,2.0,Archived,No,"class:exotic, purity:none, size:small",Archived
Xe31mm,Xenon,Xe,Xenon,54.0,31mm Round,18.0,0.0,Archived,No,"class:exotic, purity:none, size:micro",Out of stock; Archived
Hf31mm,Hafnium,Hf,Hafnium,72.0,31mm Round,15.0,0.0,Archived,No,"class:mid, purity:none, size:micro",Out of stock; Archived
31mm_container_2,Empty 31mm round plastic container,,,,31mm Round,,218.0,Active,No,"displays, purity:none, size:micro",Could not map to element
Ar31mm,Argon,Ar,Argon,18.0,31mm Round,12.0,66.0,Archived,No,"class:exotic, purity:none, size:micro",Archived
Te1g_bot,Tellurium metal 99.999%,Te,Tellurium,52.0,Other (Bulk/Bottle),4.5,6.0,Archived,No,"class:mid, elements, purity:5N, size:micro",Archived
C31mm,Carbon,C,Carbon,6.0,31mm Round,4.0,65.0,Archived,No,"class:common, purity:none, size:small",Archived
Sm1g_bot,Samarium metal 99.9%,Sm,Samarium,62.0,Other (Bulk/Bottle),6.0,0.0,Draft,No,"class:exotic, purity:3N, size:micro",Out of stock; Draft
Pt31mm_100mg,Platinum,Pt,Platinum,78.0,31mm Round,8.0,31.0,Archived,No,"class:precious, purity:none, size:small",Precious metal - exclude from normal assignment; Archived
Pt31mm_1g,Platinum,Pt,Platinum,78.0,31mm Round,71.0,0.0,Archived,No,"class:precious, purity:none, size:small",Precious metal - exclude from normal assignment; Out of stock; Archived
Sc1g_bottle,Scandium metal 99.9%,Sc,Scandium,21.0,Other (Bulk/Bottle),14.0,15.0,Draft,No,"class:mid, purity:3N, size:micro",Draft
Ti_egg_blue,"Titanium metal 99.95% ""eggs""",Ti,Titanium,22.0,Other,12.0,0.0,Draft,No,"class:mid, purity:3N, size:small",Out of stock; Draft
F_FBB,Fluorine gas,F,Fluorine,9.0,Other,39.0,0.0,Active,No,"class:exotic, elements, purity:none, size:micro",Out of stock
case_amp_2,"""One of Each"" Set",,,,Ampoule,,36.0,Active,No,"elements, purity:none, size:large",Could not map to element
case1g_85bot,"""One of Each"" Set",,,,Other (Bulk/Bottle),115.0,6.0,Active,No,"elements, purity:none, size:large",Could not map to element
set1g_46,"""One of Each"" Set",,,,Other (Bulk/Bottle),160.0,0.0,Active,No,"elements, purity:none, size:large",Out of stock
set1g_35,"""One of Each"" Set",,,,Other (Bulk/Bottle),525.0,0.0,Active,No,"elements, purity:none, size:large",Out of stock
set1g_4,"""One of Each"" Set",,,,Other (Bulk/Bottle),300.0,0.0,Active,No,"elements, purity:none, size:large",Out of stock
set1g_85,"""One of Each"" Set",,,,Other (Bulk/Bottle),750.0,0.0,Active,No,"elements, purity:none, size:large",Out of stock
1g_bottle,"""One of Each"" Set",,,,Other (Bulk/Bottle),1.5,0.0,Active,No,"elements, purity:none, size:large",Out of stock; Could not map to element
Au_pur_0.1g,Purple Gold,Au,Gold,79.0,Other (Bulk/Bottle),24.5,5.0,Active,No,"class:precious, elements, purity:none, size:micro",Precious metal - exclude from normal assignment
Au_pur_1g,Purple Gold,Au,Gold,79.0,Other (Bulk/Bottle),195.5,10.0,Active,No,"class:precious, elements, purity:none, size:micro",Precious metal - exclude from normal assignment
S10.1mm,Sulfur crystals 99.99%,S,Sulfur,16.0,Other (Sample),4.4,5.0,Archived,No,"class:common, elements, form:crystal, purity:4N, size:small",Archived
Zr_cry_sm,Zirconium crystal 99.9%,Zr,Zirconium,40.0,Other (Sample),15.0,0.0,Draft,No,"class:mid, form:crystal, purity:3N, size:small",Out of stock; Draft
Au_blue_0.1g,Blue Gold,Au,Gold,79.0,Other (Bulk/Bottle),8.5,0.0,Active,No,"class:precious, elements, purity:none, size:micro",Precious metal - exclude from normal assignment; Out of stock
Ti_black,Titanium Black 99.9%,Ti,Titanium,22.0,Other,10.0,0.0,Draft,No,"class:mid, purity:3N, size:micro",Out of stock; Draft
2H2O,Deuterium Oxide 99.9% (Heavy Water),,,,Other,25.0,0.0,Draft,No,"purity:3N, size:small",Out of stock; Draft; Could not map to element
ThCr4_250mg,Thorium Chromate,Th,Thorium,90.0,Other,15.0,0.0,Draft,No,"class:exotic, purity:none, size:micro",Out of stock; Draft
U_Diuranate_5g,Yellowcake (Uranyl Acetate),U,Uranium,92.0,Other,75.0,0.0,Draft,No,"class:exotic, purity:none, size:small",Out of stock; Draft
U1g_yel,Ammonium Diuranate (Yellowcake),U,Uranium,92.0,Other (Bulk/Bottle),30.0,1.0,Draft,No,"Ammonium Diuranate, class:exotic, purity:none, size:small, Uranium, yellowcake",Draft
U10g_yel,Ammonium Diuranate (Yellowcake),U,Uranium,92.0,Other (Bulk/Bottle),240.0,1.0,Draft,No,"Ammonium Diuranate, class:exotic, purity:none, size:small, Uranium, yellowcake",Draft
Mo10.1mm,Molybdenum Metal Cube 99.95%,Mo,Molybdenum,42.0,10mm Cube,1.25,12.0,Archived,No,"class:mid, cubes, form:cube, purity:3N, size:micro",Archived
Ta10.1mm,Tantalum Metal Cube 99.95%,Ta,Tantalum,73.0,10mm Cube,2.5,0.0,Archived,No,"class:mid, cubes, form:cube, purity:3N, size:micro",Out of stock; Archived
W10.1mm,Tungsten Metal Cube 99.95%,W,Tungsten,74.0,10mm Cube,5.25,7.0,Archived,No,"class:mid, cubes, form:cube, purity:3N, size:micro",Archived
Al10.1mm,Aluminum Metal Cube 99.9%,Al,Aluminum,13.0,10mm Cube,1.25,10.0,Archived,No,"class:common, cubes, form:cube, purity:3N, size:micro",Archived
Cu10.1mm,Copper Metal Cube 99.95%,Cu,Copper,29.0,10mm Cube,3.15,99.0,Archived,No,"class:common, form:cube, purity:3N, size:micro",Archived
Zn10.1mm,Zinc Metal Cube 99.99%,Zn,Zinc,30.0,10mm Cube,1.25,34.0,Archived,No,"class:common, cubes, form:cube, purity:4N, size:micro",Archived
La10.1mm_empty,Lanthanum Metal Cube 99.5%,La,Lanthanum,57.0,10mm Cube,1.0,1.0,Archived,No,"class:exotic, cubes, form:cube, purity:none, size:micro",Archived
Gd10.1mm,Gadolinium Metal Cube 99.9%,Gd,Gadolinium,64.0,10mm Cube,1.75,0.0,Archived,No,"class:exotic, cubes, form:cube, purity:3N, size:micro",Out of stock; Archived
Nd10.1mm_empty,Neodymium Metal Cube 99.5%,Nd,Neodymium,60.0,10mm Cube,1.0,56.0,Archived,No,"class:exotic, cubes, form:cube, purity:none, size:micro",Archived
Hf10.1mm,Hafnium Metal Cube 99.95%,Hf,Hafnium,72.0,10mm Cube,8.0,0.0,Archived,No,"class:mid, cubes, form:cube, purity:3N, size:micro",Out of stock; Archived
Y10.1mm,Yttrium Metal Cube 99.95%,Y,Yttrium,39.0,10mm Cube,4.4,0.0,Archived,No,"class:mid, cubes, form:cube, purity:3N, size:micro",Out of stock; Archived
C10.1mm,Carbon Cube 99.9%,C,Carbon,6.0,10mm Cube,1.25,125.0,Archived,No,"class:common, cubes, form:cube, purity:3N, size:micro",Archived
Co10.1mm,Cobalt Metal Cube 99.95%,Co,Cobalt,27.0,10mm Cube,1.5,0.0,Archived,No,"class:mid, cubes, form:cube, purity:3N, size:micro",Out of stock; Archived
V10.1mm,Vanadium Metal Cube 99.95%,V,Vanadium,23.0,10mm Cube,1.5,0.0,Archived,No,"class:mid, cubes, form:cube, purity:3N, size:micro",Out of stock; Archived
Zr10.1mm,Zirconium Metal Cube 97%,Zr,Zirconium,40.0,10mm Cube,4.4,10.0,Archived,No,"class:mid, cubes, form:cube, purity:none, size:micro",Archived
Fe10.1mm,Iron Metal Cube 99.9%,Fe,Iron,26.0,10mm Cube,1.25,181.0,Archived,No,"class:common, cubes, form:cube, purity:3N, size:micro",Archived
Cr10.1mm,Chromium Metal Cube 99.7%,Cr,Chromium,24.0,10mm Cube,1.25,96.0,Archived,No,"class:mid, cubes, form:cube, purity:none, size:micro",Archived
Mg10.1mm,Magnesium Metal Cube 99.95%,Mg,Magnesium,12.0,10mm Cube,1.25,0.0,Archived,No,"class:common, cubes, form:cube, purity:3N, size:micro",Out of stock; Archived
Cd10.1mm,Cadmium Metal Cube 99.99%,Cd,Cadmium,48.0,10mm Cube,1.25,0.0,Archived,No,"class:mid, cubes, form:cube, purity:4N, size:micro",Out of stock; Archived
Sn10.1mm,Tin Metal Cube 99.9%,Sn,Tin,50.0,10mm Cube,1.25,24.0,Archived,No,"class:common, cubes, form:cube, purity:3N, size:micro",Archived
Ti10.1mm,Titanium Metal Cube 99.5%,Ti,Titanium,22.0,10mm Cube,4.4,18.0,Archived,No,"class:mid, cubes, form:cube, purity:none, size:micro",Archived
Sb10.1mm,Antimony Metal Cube 99.95%,Sb,Antimony,51.0,10mm Cube,2.0,0.0,Archived,No,"class:mid, cubes, form:cube, purity:3N, size:micro",Out of stock; Archived
Bi10.1mm,Bismuth Metal Cube 99.99%,Bi,Bismuth,83.0,10mm Cube,1.25,58.0,Archived,No,"class:common, cubes, form:cube, purity:4N, size:micro",Archived
Sc10.1mm,Scandium Metal Cube 99.9%,Sc,Scandium,21.0,10mm Cube,4.0,0.0,Archived,No,"class:mid, cubes, form:cube, purity:3N, size:micro",Out of stock; Archived
Ni10.1mm,Nickel Metal Cube 99.95%,Ni,Nickel,28.0,10mm Cube,4.4,10.0,Archived,No,"class:mid, cubes, form:cube, purity:3N, size:micro",Archived
Mn10.1mm,Manganese Metal Cube 99.99%,Mn,Manganese,25.0,10mm Cube,1.25,0.0,Archived,No,"class:mid, cubes, form:cube, purity:4N, size:micro",Out of stock; Archived
S10.1mm,Sulfur Cube 99.9%,S,Sulfur,16.0,10mm Cube,4.4,5.0,Archived,No,"class:common, cubes, form:cube, purity:3N, size:micro",Archived
In10.1mm,Indium Metal Cube 99.99%,In,Indium,49.0,10mm Cube,1.25,0.0,Archived,No,"class:mid, cubes, form:cube, purity:4N, size:micro",Out of stock; Archived
