"ID","Handle","Command","Title","Tags","Tags Command","Status","URL","Total Inventory Qty","Variant ID","Variant SKU","Variant Inventory Qty"
"10566110904485","manganese-metal-cube-99-99","MERGE","Manganese Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/manganese-metal-cube-99-99","74","47820942639269","Mn10.1mm","0"
"10566110904485","manganese-metal-cube-99-99","MERGE","Manganese Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/manganese-metal-cube-99-99","74","47820942672037","Mn10mm","53"
"10566110904485","manganese-metal-cube-99-99","MERGE","Manganese Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/manganese-metal-cube-99-99","74","47820942704805","Mn25.4mm","19"
"10566110904485","manganese-metal-cube-99-99","MERGE","Manganese Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/manganese-metal-cube-99-99","74","47820942737573","Mn50mm","2"
"10566110937253","sulfur-cube-99-9","MERGE","Sulfur Cube 99.9%","class:common, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/sulfur-cube-99-9","5","47806059053221","S10.1mm","4"
"10566110937253","sulfur-cube-99-9","MERGE","Sulfur Cube 99.9%","class:common, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/sulfur-cube-99-9","5","47806059085989","S10mm","0"
"10566110937253","sulfur-cube-99-9","MERGE","Sulfur Cube 99.9%","class:common, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/sulfur-cube-99-9","5","47806059118757","S25.4mm","0"
"10566110937253","sulfur-cube-99-9","MERGE","Sulfur Cube 99.9%","class:common, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/sulfur-cube-99-9","5","47806059151525","S50mm","1"
"10566111035557","indium-metal-cube-99-99","MERGE","Indium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/indium-metal-cube-99-99","66","47820941557925","In10.1mm","0"
"10566111035557","indium-metal-cube-99-99","MERGE","Indium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/indium-metal-cube-99-99","66","47820941590693","In10mm","44"
"10566111035557","indium-metal-cube-99-99","MERGE","Indium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/indium-metal-cube-99-99","66","47820941623461","In25.4mm","22"
"10566111035557","indium-metal-cube-99-99","MERGE","Indium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/indium-metal-cube-99-99","66","47820941656229","In50mm","0"
"10566111133861","lead-metal-cube-99-95","MERGE","Lead Metal Cube 99.95%","class:common, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/lead-metal-cube-99-95","163","47820942049445","Pb10.1mm","26"
"10566111133861","lead-metal-cube-99-95","MERGE","Lead Metal Cube 99.95%","class:common, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/lead-metal-cube-99-95","163","47820942082213","Pb10mm","116"
"10566111133861","lead-metal-cube-99-95","MERGE","Lead Metal Cube 99.95%","class:common, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/lead-metal-cube-99-95","163","47820942114981","Pb10mm_mp","0"
"10566111133861","lead-metal-cube-99-95","MERGE","Lead Metal Cube 99.95%","class:common, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/lead-metal-cube-99-95","163","47820942147749","Pb25.4mm","21"
"10566111133861","lead-metal-cube-99-95","MERGE","Lead Metal Cube 99.95%","class:common, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/lead-metal-cube-99-95","163","47820942180517","Pb50mm","0"
"10566111264933","tellurium-metal-cube-99-99","MERGE","Tellurium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/tellurium-metal-cube-99-99","41","47820944605349","Te10.1mm","2"
"10566111264933","tellurium-metal-cube-99-99","MERGE","Tellurium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/tellurium-metal-cube-99-99","41","47820944638117","Te10mm","30"
"10566111264933","tellurium-metal-cube-99-99","MERGE","Tellurium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/tellurium-metal-cube-99-99","41","47820944670885","Te25.4mm","9"
"10566111264933","tellurium-metal-cube-99-99","MERGE","Tellurium Metal Cube 99.99%","class:mid, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/tellurium-metal-cube-99-99","41","47820944703653","Te50mm","0"
"10566111428773","lutetium-metal-cube-99-95","MERGE","Lutetium Metal Cube 99.95%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/lutetium-metal-cube-99-95","36","47820942246053","Lu10.1mm","0"
"10566111428773","lutetium-metal-cube-99-95","MERGE","Lutetium Metal Cube 99.95%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/lutetium-metal-cube-99-95","36","47820942278821","Lu10mm","30"
"10566111428773","lutetium-metal-cube-99-95","MERGE","Lutetium Metal Cube 99.95%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/lutetium-metal-cube-99-95","36","47820942311589","Lu25.4mm","6"
"10566111658149","silicon-metal-cube-99-99","MERGE","Silicon Metal Cube 99.99%","class:common, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/silicon-metal-cube-99-99","116","47820944015525","Si10.1mm","9"
"10566111658149","silicon-metal-cube-99-99","MERGE","Silicon Metal Cube 99.99%","class:common, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/silicon-metal-cube-99-99","116","47820944048293","Si10mm","40"
"10566111658149","silicon-metal-cube-99-99","MERGE","Silicon Metal Cube 99.99%","class:common, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/silicon-metal-cube-99-99","116","47820944081061","Si25.4mm","63"
"10566111658149","silicon-metal-cube-99-99","MERGE","Silicon Metal Cube 99.99%","class:common, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/silicon-metal-cube-99-99","116","47820944113829","Si50mm","4"
"10566111854757","germanium-cube-99-999","MERGE","Germanium Cube 99.999%","class:mid, form:cube, purity:5N, size:micro","REPLACE","Active","https://luciteria.com/products/germanium-cube-99-999","47","47820941000869","Ge10.1mm","0"
"10566111854757","germanium-cube-99-999","MERGE","Germanium Cube 99.999%","class:mid, form:cube, purity:5N, size:micro","REPLACE","Active","https://luciteria.com/products/germanium-cube-99-999","47","47820941033637","Ge10mm","44"
"10566111854757","germanium-cube-99-999","MERGE","Germanium Cube 99.999%","class:mid, form:cube, purity:5N, size:micro","REPLACE","Active","https://luciteria.com/products/germanium-cube-99-999","47","47820941066405","Ge25.4mm","3"
"10566112051365","erbium-metal-cube-99-95","MERGE","Erbium Metal Cube 99.95%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/erbium-metal-cube-99-95","196","47820940411045","Er10.1mm","98"
"10566112051365","erbium-metal-cube-99-95","MERGE","Erbium Metal Cube 99.95%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/erbium-metal-cube-99-95","196","47820940443813","Er10mm","84"
"10566112051365","erbium-metal-cube-99-95","MERGE","Erbium Metal Cube 99.95%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/erbium-metal-cube-99-95","196","47820940476581","Er25.4mm","14"
"10566112116901","samarium-metal-cube-99-99","MERGE","Samarium Metal Cube 99.99%","class:exotic, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/samarium-metal-cube-99-99","80","47820943589541","Sm10.1mm","0"
"10566112116901","samarium-metal-cube-99-99","MERGE","Samarium Metal Cube 99.99%","class:exotic, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/samarium-metal-cube-99-99","80","47820943622309","Sm10mm","68"
"10566112116901","samarium-metal-cube-99-99","MERGE","Samarium Metal Cube 99.99%","class:exotic, form:cube, purity:4N, size:micro","REPLACE","Active","https://luciteria.com/products/samarium-metal-cube-99-99","80","47820943655077","Sm25.4mm","12"
"10566112247973","rhenium-metal-cube-99-95","MERGE","Rhenium Metal Cube 99.95%","class:precious, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/rhenium-metal-cube-99-95","19","47820857639077","Re10.1mm_1g","10"
"10566112247973","rhenium-metal-cube-99-95","MERGE","Rhenium Metal Cube 99.95%","class:precious, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/rhenium-metal-cube-99-95","19","47820857704613","Re10mm","0"
"10566112247973","rhenium-metal-cube-99-95","MERGE","Rhenium Metal Cube 99.95%","class:precious, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/rhenium-metal-cube-99-95","19","47820857671845","Re25.4mm","9"
"10566112477349","terbium-metal-cube-99-9","MERGE","Terbium Metal Cube 99.9%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/terbium-metal-cube-99-9","238","47820944736421","Tb10.1mm","0"
"10566112477349","terbium-metal-cube-99-9","MERGE","Terbium Metal Cube 99.9%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/terbium-metal-cube-99-9","238","47820944769189","Tb10mm","231"
"10566112477349","terbium-metal-cube-99-9","MERGE","Terbium Metal Cube 99.9%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/terbium-metal-cube-99-9","238","47820944801957","Tb25.4mm","7"
"10566112575653","calcium-metal-cube-99-9","MERGE","Calcium Metal Cube 99.9%","class:reactive, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/calcium-metal-cube-99-9","22","47820939460773","Ca10mm_sg","2"
"10566112575653","calcium-metal-cube-99-9","MERGE","Calcium Metal Cube 99.9%","class:reactive, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/calcium-metal-cube-99-9","22","47820939493541","Ca10mm","20"
"10566112739493","cerium-metal-cube-99-5","MERGE","Cerium Metal Cube 99.5%","class:exotic, form:cube, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/cerium-metal-cube-99-5","20","47820854493349","Ce10mm_sg","0"
"10566112739493","cerium-metal-cube-99-5","MERGE","Cerium Metal Cube 99.5%","class:exotic, form:cube, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/cerium-metal-cube-99-5","20","47820854526117","Ce10mm","20"
"10566112739493","cerium-metal-cube-99-5","MERGE","Cerium Metal Cube 99.5%","class:exotic, form:cube, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/cerium-metal-cube-99-5","20","47820854558885","Ce25.4mm","0"
"10566112870565","ytterbium-metal-cube-99-9","MERGE","Ytterbium Metal Cube 99.9%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/ytterbium-metal-cube-99-9","94","47820946047141","Yb10.1mm","0"
"10566112870565","ytterbium-metal-cube-99-9","MERGE","Ytterbium Metal Cube 99.9%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/ytterbium-metal-cube-99-9","94","47820946079909","Yb10mm","70"
"10566112870565","ytterbium-metal-cube-99-9","MERGE","Ytterbium Metal Cube 99.9%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/ytterbium-metal-cube-99-9","94","47820946112677","Yb25.4mm","14"
